codigo_cnv,id_detalle_cnv,denominacion_cnv,verificado_por,curado_en
1542,86774,SBS PATRIMONIO IX FCI,nombre,2026-08-23
1544,86776,SBS RENTA MIXTA V FCI,nombre,2026-08-23
1545,86730,BAVSA GLOBAL II,nombre,2026-08-23
1546,86731,BAVSA GLOBAL III,nombre,2026-08-23
1547,86732,BAVSA  RETORNO TOTAL FCI,nombre,2026-08-23
1548,86733,BAVSA RENTA DÓLARES FCI,nombre,2026-08-23
1549,86759,BALANZ MONEY MARKET USD,nombre,2026-08-23
1550,86791,NOVUS INCOME DÓLARES,nombre,2026-08-23
1551,86792,NOVUS AHORRO DÓLARES,nombre,2026-08-23
1552,86793,NOVUS RETORNO TOTAL,nombre,2026-08-23
1553,86794,NOVUS GESTIÓN II,nombre,2026-08-23
1554,86795,NOVUS LOW VOLATILITY,nombre,2026-08-23
1555,86796,NOVUS RENTA CAPITAL,nombre,2026-08-23
1556,86748,Adcap Gestion Estrategica I,nombre,2026-08-23
1557,86749,Adcap Gestion Estrategica II,nombre,2026-08-23
1558,86750,Adcap Gestion Estrategica III,nombre,2026-08-23
1559,86751,Adcap Patrimonio I,nombre,2026-08-23
1561,86997,ALLARIA AHORRO DINÁMICO FCI,nombre,2026-08-23
1562,86936,Ualintec Cobertura,nombre,2026-08-23
1563,86937,Ualintec Renta Dolares,nombre,2026-08-23
1564,86938,Ualintec Retorno Total,nombre,2026-08-23
1565,86939,Ualintec Pesos Plus,nombre,2026-08-23
1566,86902,SBS LIQUIDEZ USD FCI,nombre,2026-08-23
1567,86864,Delta Dólares,nombre,2026-08-23
1568,86898,PIONERO AHORRO DOLAR PLUS,nombre,2026-08-23
1569,86899,PIONERO INVERSION DOLAR,nombre,2026-08-23
